timestamp,roll,pitch,yaw,heartRate,spo2,roll_velocity,pitch_velocity,yaw_velocity,roll_acceleration,pitch_acceleration,yaw_acceleration,peak_count,label
0.2225,0.6073,0.4837,0.522,0,0,0.9428,-0.0959,0.2003,94.2767,-9.5916,20.0319,0,Backhand
0.4179,0.617,0.4819,0.5234,0,0,0.9691,-0.1809,0.1415,2.6381,-8.4969,-5.877,0,Backhand
0.6125,0.617,0.4809,0.5244,0,0,0,-0.0994,0.1025,-96.9148,8.1503,-3.9017,1,Backhand
0.8074,0.624,0.4777,0.5256,0,0,0.7072,-0.3246,0.1156,70.7245,-22.521,1.3089,1,Backhand
1.2431,0.6354,0.4667,0.5239,0,0,1.1364,-1.102,-0.1718,42.9112,-77.7453,-28.7396,1,Backhand
1.8422,0.637,0.4623,0.5319,0,0,0.1632,-0.4381,0.8065,-97.3153,66.3909,97.8267,2,Backhand
2.4462,0.6404,0.4678,0.5409,0,0,0.3384,0.5543,0.9013,17.5148,99.2474,9.4855,2,Backhand
3.0436,0.6466,0.4691,0.5416,0,0,0.6223,0.1291,0.0644,28.3998,-42.5282,-83.6968,2,Backhand
3.6417,0.6533,0.4779,0.5378,0,0,0.6633,0.8783,-0.3822,4.0978,74.9266,-44.6558,2,Backhand
4.2434,0.6558,0.4804,0.5324,0,0,0.2564,0.2535,-0.5403,-40.6969,-62.4809,-15.8101,3,Backhand
4.8424,0.656,0.4749,0.5307,0,0,0.0207,-0.5519,-0.1689,-23.5689,-80.5366,37.1367,3,Backhand
5.4424,0.6627,0.4689,0.5293,0,0,0.6696,-0.6048,-0.137,64.8963,-5.2905,3.1865,3,Backhand
6.0434,0.672,0.4658,0.5293,0,0,0.9261,-0.3033,0.0038,25.6455,30.1421,14.0816,3,Backhand
6.6429,0.6776,0.4689,0.5302,0,0,0.561,0.3066,0.0884,-36.5055,60.9964,8.4621,4,Backhand
7.244,0.6838,0.4712,0.5279,0,0,0.62,0.2266,-0.2334,5.8973,-8.0067,-32.1794,4,Backhand
7.8437,0.6887,0.4671,0.5263,0,0,0.492,-0.4083,-0.1616,-12.7977,-63.4834,7.1824,5,Backhand
8.4428,0.6924,0.4646,0.5248,0,0,0.3693,-0.2455,-0.1469,-12.2756,16.2745,1.4633,5,Backhand
9.0439,0.6937,0.4557,0.5114,0,0,0.1272,-0.8917,-1.337,-24.2102,-64.6162,-119.0066,5,Backhand
9.6419,0.6684,0.459,0.5387,0,0,-2.5255,0.3271,2.7244,-265.2651,121.8784,406.1461,5,Backhand
10.2442,0.677,0.4677,0.5336,0,0,0.8601,0.8668,-0.5045,338.5603,53.9732,-322.8903,5,Backhand
10.8429,0.6636,0.4552,0.5359,0,0,-1.3455,-1.2423,0.2256,-220.558,-210.9137,73.0079,6,Backhand
11.4433,0.6562,0.415,0.5006,0,0,-0.7398,-4.0239,-3.5309,60.5667,-278.1632,-375.6565,6,Backhand
12.1029,0.6526,0.4225,0.5272,0,0,-0.3542,0.7528,2.6583,38.563,477.6755,618.9251,6,Backhand
12.6996,0.6469,0.4322,0.5146,0,0,-0.5786,0.9652,-1.2572,-22.4429,21.2434,-391.5477,7,Backhand
13.3022,0.6422,0.4217,0.5165,0,0,-0.4636,-1.0472,0.194,11.5025,-201.2485,145.1182,7,Backhand
13.9031,0.6449,0.3856,0.5324,0,0,0.271,-3.6087,1.5826,73.4585,-256.1411,138.8633,7,Backhand
14.5035,0.6532,0.4211,0.5272,0,0,0.8318,3.5521,-0.5183,56.079,716.0789,-210.0945,7,Backhand
15.1031,0.6519,0.4428,0.5326,0,0,-0.1386,2.1645,0.5439,-97.0381,-138.7617,106.2197,8,Backhand
15.7617,0.6501,0.4214,0.516,0,0,-0.1808,-2.1394,-1.666,-4.2266,-430.3873,-220.989,8,Backhand
16.3634,0.6669,0.4345,0.5448,0,0,1.6844,1.3159,2.8892,186.519,345.5266,455.522,8,Backhand
16.9624,0.672,0.4457,0.5403,0,0,0.5152,1.1188,-0.4529,-116.9199,-19.7086,-334.2158,9,Backhand
17.5623,0.6505,0.439,0.545,0,0,-2.1594,-0.6751,0.4651,-267.4514,-179.3957,91.8061,9,Backhand
18.1628,0.6512,0.4005,0.5457,0,0,0.0754,-3.8472,0.0778,223.4769,-317.209,-38.7359,9,Backhand
18.7631,0.6607,0.4231,0.5387,0,0,0.9543,2.2582,-0.7034,87.8841,610.5381,-78.1125,9,Backhand
19.3621,0.6497,0.4386,0.5486,0,0,-1.1066,1.5549,0.9899,-206.0807,-70.3248,169.3297,10,Backhand
19.9629,0.6518,0.4168,0.5288,0,0,0.2116,-2.1863,-1.9762,131.8163,-374.1258,-296.6112,10,Backhand
20.5638,0.6694,0.4296,0.5686,0,0,1.7634,1.2783,3.9732,155.1813,346.4684,594.9318,10,Backhand
21.1641,0.6762,0.446,0.5525,0,0,0.6736,1.6403,-1.6059,-108.9823,36.1973,-557.9031,11,Backhand
21.7639,0.6587,0.4406,0.556,0,0,-1.7497,-0.5365,0.3444,-242.3316,-217.6848,195.0234,11,Backhand
