timestamp,roll,pitch,yaw,heartRate,spo2,roll_velocity,pitch_velocity,yaw_velocity,roll_acceleration,pitch_acceleration,yaw_acceleration,peak_count
10.2588,0.7597,0.4336,0.5228,0,0,4.1321,-1.9807,-0.8779,38.9087,-259.4736,209.2743,2
11.0355,0.751,0.3841,0.4891,0,0,-0.8672,-4.9531,-3.3702,-499.9322,-297.235,-249.2374,3
11.6375,0.741,0.4193,0.5253,0,0,-1.004,3.5259,3.6171,-13.6769,847.899,698.7339,3
12.24,0.741,0.4345,0.5093,0,0,0,1.5204,-1.6044,100.3981,-200.5529,-522.1456,3
13.2582,0.7312,0.4189,0.5276,0,0,-0.9821,-1.563,1.8312,-98.2058,-308.3345,343.5534,4
13.8587,0.7288,0.406,0.5179,0,0,-0.2376,-1.2934,-0.9645,74.4492,26.9556,-279.5631,4
14.4579,0.7226,0.4045,0.5346,0,0,-0.6185,-0.1495,1.6691,-38.0957,114.3903,263.3548,5
15.0577,0.7226,0.4173,0.5074,0,0,0,1.2851,-2.724,61.8523,143.4591,-439.3113,5
15.8403,0.7308,0.4076,0.5023,0,0,0.8227,-0.9717,-0.5106,82.2711,-225.6775,221.3395,5
16.6175,0.7297,0.4023,0.5029,0,0,-0.1123,-0.5261,0.0606,-93.497,44.5557,57.1245,6
17.2774,0.7292,0.3983,0.5015,0,0,-0.0499,-0.4069,-0.1352,6.2335,11.9293,-19.5861,6
17.8789,0.7133,0.3537,0.4897,0,0,-1.5903,-4.4576,-1.1814,-154.0351,-405.0797,-104.6187,7
18.4794,0.7087,0.3911,0.485,0,0,-0.4609,3.7371,-0.4766,112.9329,819.4775,70.4846,7
19.0773,0.7218,0.3962,0.4728,0,0,1.3098,0.5155,-1.2186,177.0705,-322.1599,-74.2066,7
19.7352,0.7009,0.3969,0.4625,0,0,-2.089,0.0682,-1.0223,-339.88,-44.7291,19.637,8
20.3394,0.6878,0.3999,0.4777,0,0,-1.3132,0.2981,1.5115,77.5802,22.9836,253.3793,8
20.938,0.6756,0.3651,0.4462,0,0,-1.2197,-3.477,-3.1497,9.3573,-377.5048,-466.1214,8
21.5986,0.6658,0.3887,0.4697,0,0,-0.9802,2.3585,2.3533,23.9474,583.5441,550.2963,8
22.1995,0.681,0.4093,0.4421,0,0,1.5253,2.0577,-2.7562,250.5535,-30.0729,-510.9468,8
22.916,0.7303,0.3933,0.4149,0,0,4.9257,-1.5942,-2.7231,340.0314,-365.1946,3.306,8
23.6961,0.7299,0.3807,0.424,0,0,-0.0447,-1.2596,0.9053,-497.0324,33.4623,362.8448,9
24.2972,0.7072,0.3426,0.4302,0,0,-2.2644,-3.8126,0.6219,-221.9701,-255.3031,-28.3417,9
24.958,0.695,0.3796,0.4273,0,0,-1.2206,3.6958,-0.2919,104.3785,750.846,-91.3766,9
25.5573,0.6962,0.3937,0.4147,0,0,0.124,1.4152,-1.2532,134.4597,-228.0596,-96.1292,9
26.2167,0.6833,0.4181,0.4434,0,0,-1.2918,2.4396,2.869,-141.5849,102.436,412.2183,10
26.8188,0.6611,0.4262,0.4489,0,0,-2.2268,0.8081,0.5523,-93.4964,-163.1507,-231.6752,10
27.4198,0.631,0.4297,0.4506,0,0,-3.0085,0.3456,0.1681,-78.1703,-46.2449,-38.4131,10
28.139,0.6248,0.4295,0.4514,0,0,-0.617,-0.0211,0.0744,239.1505,-36.6744,-9.3767,10
28.7356,0.6232,0.4295,0.4514,0,0,-0.1554,0,0,46.1602,2.1097,-7.436,10
29.3401,0.6232,0.4295,0.4514,0,0,0,0,0,15.5395,0,0,10
29.9394,0.6232,0.4296,0.4511,0,0,0,0.0195,-0.0226,0,1.9476,-2.265,11
30.598,0.6166,0.4298,0.4504,0,0,-0.6688,0.0115,-0.0731,-66.8842,-0.7966,-5.0426,12
31.1971,0.6044,0.433,0.4411,0,0,-1.2173,0.3282,-0.9269,-54.844,31.6727,-85.3869,12
31.8583,0.5829,0.4359,0.4342,0,0,-2.1499,0.2856,-0.6895,-93.2616,-4.2623,23.7438,12
32.4571,0.5661,0.4393,0.4257,0,0,-1.6809,0.3444,-0.8562,46.9011,5.8791,-16.6729,12
33.1189,0.5499,0.4438,0.4161,0,0,-1.619,0.4495,-0.9575,6.1864,10.5056,-10.128,12
33.7156,0.5391,0.4458,0.4142,0,0,-1.0802,0.1992,-0.1868,53.8844,-25.0265,77.076,12
34.3176,0.545,0.4768,0.4636,0,0,0.5925,3.0933,4.9405,167.2661,289.4109,512.7257,12
34.9172,0.6256,0.4743,0.4716,0,0,8.0555,-0.2414,0.7943,746.302,-333.4716,-414.6221,12
35.5195,0.6459,0.4628,0.4725,0,0,2.0359,-1.1509,0.0964,-601.9634,-90.9474,-69.7911,13
36.3003,0.6721,0.4895,0.5119,0,0,2.618,2.6705,3.9376,58.2087,382.1337,384.126,13
36.9611,0.691,0.4628,0.5022,0,0,1.8865,-2.6744,-0.9764,-73.1409,-534.482,-491.4012,14
37.5595,0.6929,0.4605,0.5176,0,0,0.196,-0.2331,1.5438,-169.0555,244.1287,252.0204,14
38.1574,0.6954,0.4548,0.5184,0,0,0.2475,-0.5661,0.0761,5.1546,-33.2996,-146.7717,14
38.8206,0.6894,0.4155,0.5196,0,0,-0.6048,-3.931,0.1251,-85.2293,-336.4888,4.8989,15
39.4177,0.6892,0.4514,0.533,0,0,-0.0117,3.5932,1.3356,59.3102,752.4138,121.0529,15
40.019,0.6707,0.4581,0.5501,0,0,-1.8579,0.6663,1.7182,-184.623,-292.6841,38.259,16
40.7975,0.659,0.4742,0.5638,0,0,-1.1704,1.6144,1.3627,68.7528,94.8048,-35.5488,16
41.5181,0.6652,0.4413,0.5334,0,0,0.6206,-3.2934,-3.0409,179.0983,-490.7739,-440.3621,16
42.1191,0.6877,0.4602,0.548,0,0,2.2501,1.8941,1.4681,162.9448,518.7461,450.8966,16
42.7153,0.6909,0.4615,0.5393,0,0,0.3188,0.1297,-0.8764,-193.125,-176.4449,-234.4477,17
43.4391,0.6959,0.4633,0.5352,0,0,0.5033,0.1764,-0.4036,18.45,4.6751,47.276,17
44.0383,0.6934,0.4563,0.5363,0,0,-0.2445,-0.7057,0.1091,-74.7871,-88.2083,51.2725,18
44.7556,0.6866,0.4179,0.5052,0,0,-0.6841,-3.8309,-3.1172,-43.9572,-312.5215,-322.6316,18
45.3575,0.6833,0.4362,0.5242,0,0,-0.3345,1.8218,1.9044,34.9641,565.2711,502.1625,18
46.0184,0.6875,0.4362,0.5242,0,0,0.4229,0,0,75.7343,-182.1816,-190.4386,18
46.6154,0.6956,0.4493,0.5485,0,0,0.811,1.3167,2.4272,38.8134,131.6714,242.7185,18
47.2188,0.705,0.4306,0.5609,0,0,0.9454,-1.8738,1.239,13.4403,-319.0482,-118.8231,18
47.8183,0.7258,0.3999,0.5306,0,0,2.0716,-3.0699,-3.0312,112.6248,-119.6095,-427.019,18
48.4177,0.733,0.4245,0.5428,0,0,0.7192,2.4648,1.2286,-135.2435,553.4679,425.9795,19
49.0188,0.735,0.4315,0.5161,0,0,0.2066,0.6944,-2.6749,-51.2618,-177.038,-390.3496,19
49.6204,0.7474,0.4225,0.5166,0,0,1.2421,-0.8978,0.0468,103.5547,-159.2278,272.178,19
50.2779,0.7388,0.4156,0.5313,0,0,-0.8628,-0.6869,1.4735,-210.4914,21.0902,142.6631,20
50.8786,0.7428,0.3808,0.5175,0,0,0.4007,-3.4817,-1.3787,126.3505,-279.4775,-285.219,20
51.4775,0.7504,0.4117,0.5414,0,0,0.7584,3.0925,2.3859,35.7705,657.4207,376.4594,20
52.079,0.7504,0.4231,0.5359,0,0,0,1.1352,-0.5432,-75.8439,-195.7321,-292.9032,21
52.7959,0.7482,0.4324,0.5354,0,0,-0.2193,0.9275,-0.0535,-21.9285,-20.7704,48.9604,21
53.5202,0.7382,0.4095,0.5227,0,0,-1.0054,-2.2827,-1.2749,-78.6084,-321.0199,-122.1377,21
54.1788,0.7261,0.4268,0.5591,0,0,-1.2104,1.7265,3.6478,-20.5028,400.9226,492.2682,21
54.8976,0.7261,0.4268,0.5591,0,0,0,0,0,121.0397,-172.6493,-364.7757,21
55.6188,0.7534,0.445,0.5206,0,0,2.7376,1.8207,-3.8573,273.7582,182.0737,-385.7327,21
56.3395,0.7655,0.3557,0.4815,0,0,1.2095,-8.9356,-3.903,-152.8096,-1075.6332,-4.5657,22
56.9349,0.7595,0.3984,0.5169,0,0,-0.6022,4.2708,3.5359,-181.1713,1320.644,743.8856,22
57.5381,0.7615,0.4034,0.5118,0,0,0.1967,0.5013,-0.5099,79.8953,-376.9525,-404.582,22
58.1975,0.7833,0.3926,0.4811,0,0,2.1782,-1.0731,-3.0686,198.1485,-157.4382,-255.8693,22
58.7989,0.7696,0.3437,0.4642,0,0,-1.3666,-4.8966,-1.6874,-354.4796,-382.3525,138.1254,23
59.3998,0.7514,0.3704,0.4952,0,0,-1.8156,2.671,3.098,-44.902,756.7612,478.5404,23
59.9992,0.7514,0.3704,0.4952,0,0,0,0,0,181.5605,-267.1024,-309.8017,23
60.7148,0.7436,0.4195,0.5204,0,0,-0.7798,4.9075,2.523,-77.9784,490.7531,252.2993,24
61.4985,0.7346,0.4299,0.5298,0,0,-0.9055,1.0423,0.9362,-12.5676,-386.521,-158.6837,24
62.1555,0.7267,0.4178,0.5257,0,0,-0.7847,-1.208,-0.4049,12.0759,-225.0367,-134.1027,24
62.7586,0.7132,0.391,0.538,0,0,-1.3575,-2.6792,1.2258,-57.2771,-147.1186,163.0652,25
63.3581,0.7135,0.4263,0.5438,0,0,0.0299,3.5329,0.582,138.7411,621.2121,-64.3742,25
63.96,0.7155,0.4434,0.5342,0,0,0.2019,1.7025,-0.9673,17.1965,-183.0411,-154.9345,25
64.62,0.7404,0.4233,0.5264,0,0,2.4935,-2.0047,-0.7791,229.1626,-370.72,18.819,25
65.458,0.7312,0.3828,0.5162,0,0,-0.9206,-4.0562,-1.0161,-341.413,-205.1449,-23.6946,26
66.058,0.7353,0.4204,0.5132,0,0,0.4061,3.7625,-0.3037,132.6734,781.8699,71.2377,26
66.6584,0.7353,0.4284,0.5025,0,0,0,0.8048,-1.0674,-40.6134,-295.7744,-76.3667,27
67.3197,0.7276,0.447,0.5205,0,0,-0.764,1.8533,1.8013,-76.3983,104.8475,286.8634,27
