timestamp,roll,pitch,yaw,heartRate,spo2,roll_velocity,pitch_velocity,yaw_velocity,roll_acceleration,pitch_acceleration,yaw_acceleration,peak_count,label
12.205,0.7503,0.435,0.4303,0,0,-0.7597,4.6583,5.5326,95.5039,615.2201,442.5105,6,Forehand Slice
12.8011,0.8043,0.4279,0.4429,0,0,5.3973,-0.7131,1.2583,615.7023,-537.1317,-427.4264,6,Forehand Slice
13.4053,0.8012,0.4092,0.4309,0,0,-0.3081,-1.8667,-1.1974,-570.5446,-115.3672,-245.5697,7,Forehand Slice
14.0047,0.7563,0.3989,0.3574,0,0,-4.4905,-1.0323,-7.3561,-418.2404,83.4399,-615.8691,7,Forehand Slice
14.6043,0.7824,0.4569,0.4424,0,0,2.6138,5.7955,8.5015,710.4283,682.7843,1585.7538,7,Forehand Slice
15.2057,0.783,0.4271,0.4417,0,0,0.0621,-2.979,-0.0748,-255.1639,-877.4555,-857.6223,8,Forehand Slice
15.8048,0.7783,0.4156,0.4282,0,0,-0.4726,-1.1441,-1.3435,-53.4785,183.4887,-126.8789,8,Forehand Slice
16.4048,0.7304,0.4359,0.3616,0,0,-4.7911,2.0322,-6.6649,-431.8458,317.6305,-532.1318,8,Forehand Slice
17.0049,0.7633,0.4363,0.382,0,0,3.2845,0.0368,2.0388,807.5636,-199.531,870.3708,8,Forehand Slice
17.6046,0.7663,0.4214,0.382,0,0,0.3026,-1.4889,0.0087,-298.1919,-152.5703,-203.014,9,Forehand Slice
18.2667,0.7316,0.4049,0.3442,0,0,-3.4679,-1.6504,-3.7898,-377.0477,-16.1558,-379.847,9,Forehand Slice
18.8651,0.7674,0.4633,0.3462,0,0,3.5766,5.8415,0.2095,704.4453,749.1925,399.9218,9,Forehand Slice
19.4657,0.7812,0.4388,0.3537,0,0,1.3786,-2.454,0.747,-219.7951,-829.5479,53.7533,10,Forehand Slice
20.1242,0.7778,0.4161,0.3643,0,0,-0.3388,-2.2696,1.0577,-171.746,18.4372,31.0692,10,Forehand Slice
20.7249,0.738,0.4013,0.3044,0,0,-3.9795,-1.4805,-5.9861,-364.0729,78.9055,-704.377,10,Forehand Slice
21.3249,0.7578,0.4349,0.3422,0,0,1.9864,3.3576,3.7766,596.5966,483.8175,976.2692,10,Forehand Slice
21.9863,0.7761,0.4041,0.3469,0,0,1.8279,-3.0748,0.4726,-15.8501,-643.2426,-330.3957,11,Forehand Slice
22.5857,0.7533,0.386,0.2991,0,0,-2.2787,-1.8161,-4.7828,-410.6629,125.8659,-525.5455,11,Forehand Slice
23.3659,0.7414,0.434,0.3197,0,0,-1.1897,4.8028,2.0654,108.8989,661.8961,684.8162,11,Forehand Slice
23.9648,0.7372,0.4184,0.3337,0,0,-0.4264,-1.554,1.3917,76.3285,-635.6829,-67.364,11,Forehand Slice
24.565,0.7231,0.4073,0.335,0,0,-1.4033,-1.1113,0.1324,-97.6872,44.2734,-125.9294,12,Forehand Slice
25.1663,0.7252,0.4333,0.4095,0,0,0.2037,2.5997,7.4492,160.7007,371.0976,731.6759,12,Forehand Slice
25.7656,0.7168,0.4254,0.4112,0,0,-0.8341,-0.7968,0.1722,-103.783,-339.6457,-727.6976,13,Forehand Slice
26.3648,0.726,0.4052,0.4035,0,0,0.9131,-2.0168,-0.7664,174.7221,-122.0074,-93.8573,13,Forehand Slice
27.0245,0.6951,0.4074,0.3023,0,0,-3.0874,0.2205,-10.1269,-400.0449,223.735,-936.051,14,Forehand Slice
27.6238,0.7365,0.4516,0.328,0,0,4.1442,4.4168,2.5701,723.1533,419.6313,1269.701,14,Forehand Slice
28.2235,0.7467,0.4251,0.3416,0,0,1.0209,-2.6419,1.3616,-312.3247,-705.874,-120.8565,15,Forehand Slice
28.8254,0.7498,0.4157,0.3349,0,0,0.3042,-0.9433,-0.6691,-71.671,169.8631,-203.0659,15,Forehand Slice
29.485,0.7427,0.4513,0.3489,0,0,-0.7046,3.5553,1.4028,-100.8844,449.8544,207.1926,15,Forehand Slice
30.1435,0.7578,0.467,0.3646,0,0,1.5053,1.5753,1.5686,220.9902,-197.9977,16.574,15,Forehand Slice
30.7448,0.7637,0.456,0.3611,0,0,0.5898,-1.1064,-0.3466,-91.5509,-268.1723,-191.5202,16,Forehand Slice
31.3447,0.7196,0.4443,0.4102,0,0,-4.4062,-1.1648,4.9063,-499.5936,-5.8341,525.2931,16,Forehand Slice
31.9453,0.7539,0.4988,0.4479,0,0,3.4289,5.4536,3.7647,783.5048,661.8405,-114.1617,16,Forehand Slice
