timestamp,roll,pitch,yaw,heartRate,spo2,roll_velocity,pitch_velocity,yaw_velocity,roll_acceleration,pitch_acceleration,yaw_acceleration,peak_count
13.1963,0.7767,0.4789,0.3788,0,0,0.9039,3.4578,-9.0076,393.2578,112.4448,-1881.7324,7
13.9163,0.8106,0.413,0.2728,0,0,3.3979,-6.5968,-10.6014,249.396,-1005.4601,-159.3816,7
14.7573,0.7397,0.4372,0.4005,0,0,-7.0928,2.4193,12.7701,-1049.0686,901.618,2337.1501,8
15.3576,0.7454,0.4397,0.4021,0,0,0.5683,0.2521,0.1638,766.114,-216.7252,-1260.6309,8
16.4967,0.7048,0.4365,0.4375,0,0,-4.0611,-0.318,3.5398,-462.9391,-57.0035,337.5995,9
17.1575,0.7202,0.449,0.4375,0,0,1.5452,1.2547,-0.0077,560.6252,157.2701,-354.7445,9
18.0578,0.7698,0.404,0.3682,0,0,4.9525,-4.5001,-6.9236,340.7293,-575.4858,-691.5942,9
18.9576,0.76,0.4312,0.4568,0,0,-0.9786,2.7108,8.8538,-593.1085,721.0913,1577.7415,10
19.5572,0.734,0.4473,0.3774,0,0,-2.5951,1.6118,-7.9388,-161.6508,-109.8982,-1679.2599,10
20.3941,0.7454,0.4316,0.3093,0,0,1.1412,-1.5713,-6.8072,373.6275,-318.3088,113.1636,10
21.2966,0.7305,0.4403,0.4303,0,0,-1.4923,0.8783,12.1012,-263.3441,244.9572,1890.8379,11
22.0159,0.7645,0.3959,0.3852,0,0,3.4018,-4.4465,-4.5136,489.4078,-532.485,-1661.4773,11
22.9786,0.7153,0.4039,0.4084,0,0,-4.9219,0.8003,2.3216,-832.3688,524.6854,683.5156,12
23.5785,0.7319,0.3992,0.4622,0,0,1.6639,-0.4686,5.3832,658.5801,-126.8941,306.159,12
24.4786,0.7433,0.3837,0.3655,0,0,1.1362,-1.5448,-9.6713,-52.7674,-107.6141,-1505.4481,13
25.3757,0.6977,0.4243,0.4465,0,0,-4.56,4.0513,8.0976,-569.6213,559.6045,1776.8907,13
25.9764,0.6893,0.4299,0.4257,0,0,-0.8449,0.5611,-2.0816,371.511,-349.0174,-1017.915,13
26.6365,0.7844,0.3873,0.3505,0,0,9.5095,-4.2558,-7.5153,1035.4346,-481.6851,-543.378,13
27.2965,0.7418,0.375,0.3605,0,0,-4.2553,-1.2274,0.998,-1376.4794,302.8354,851.3344,14
27.8966,0.7111,0.3947,0.3788,0,0,-3.0729,1.9614,1.8307,118.2377,318.8837,83.2665,14
28.4965,0.7283,0.3803,0.323,0,0,1.7268,-1.4316,-5.5788,479.97,-339.3036,-740.9453,14
29.3383,0.654,0.3938,0.3897,0,0,-7.4297,1.3486,6.6721,-915.6465,278.0244,1225.0897,15
