timestamp,roll,pitch,yaw,heartRate,spo2,roll_velocity,pitch_velocity,yaw_velocity,roll_acceleration,pitch_acceleration,yaw_acceleration,peak_count,label
5.4256,0.7053,0.4734,0.4822,0,0,0.3298,-0.6748,0.6065,32.9822,-67.4829,58.2787,4,Smash
6.0274,0.7126,0.4711,0.4826,0,0,0.7258,-0.2333,0.0416,39.5942,44.1569,-56.4891,4,Smash
6.6267,0.7131,0.4638,0.477,0,0,0.0541,-0.7288,-0.5573,-67.1691,-49.558,-59.8845,5,Smash
7.2263,0.7041,0.4508,0.4658,0,0,-0.905,-1.2997,-1.1237,-95.911,-57.0893,-56.6408,5,Smash
7.8872,0.6852,0.4379,0.4591,0,0,-1.8853,-1.2919,-0.6717,-98.0234,0.7799,45.2018,5,Smash
8.4869,0.7266,0.4632,0.5936,0,0,4.1328,2.5277,13.4593,601.8048,381.9618,1413.0938,5,Smash
9.0868,0.7113,0.4605,0.5529,0,0,-1.5272,-0.264,-4.0704,-565.9949,-279.1646,-1752.9735,6,Smash
9.6884,0.7278,0.4341,0.5388,0,0,1.6508,-2.6381,-1.4114,317.7953,-237.4169,265.9041,6,Smash
10.2834,0.7573,0.4741,0.6046,0,0,2.949,3.995,6.5814,129.8267,663.3165,799.281,6,Smash
10.8837,0.7452,0.4546,0.5523,0,0,-1.2069,-1.9464,-5.2292,-415.5922,-594.1391,-1181.0571,7,Smash
11.4835,0.7322,0.4253,0.515,0,0,-1.3028,-2.9339,-3.7304,-9.5886,-98.7503,149.8782,7,Smash
12.2085,0.7378,0.4707,0.6026,0,0,0.557,4.5368,8.7559,185.9766,747.0685,1248.6309,7,Smash
12.8089,0.7427,0.4469,0.5659,0,0,0.4923,-2.3758,-3.6738,-6.4683,-691.2664,-1242.9733,8,Smash
13.407,0.7205,0.4173,0.5424,0,0,-2.2205,-2.9579,-2.3488,-271.2828,-58.2016,132.4975,8,Smash
14.0673,0.7213,0.4331,0.5958,0,0,0.0817,1.5779,5.3465,230.2176,453.5773,769.5323,8,Smash
14.6643,0.7298,0.4236,0.56,0,0,0.8498,-0.9521,-3.5892,76.8089,-252.9976,-893.5679,8,Smash
15.4457,0.7208,0.438,0.6784,0,0,-0.9009,1.445,11.8415,-175.069,239.7025,1543.0667,9,Smash
16.0433,0.7187,0.4406,0.5974,0,0,-0.2062,0.2556,-8.0964,69.4734,-118.9363,-1993.788,9,Smash
16.6466,0.741,0.4143,0.5554,0,0,2.2272,-2.6263,-4.1963,243.3437,-288.1909,390.0063,9,Smash
17.2468,0.7512,0.4264,0.6305,0,0,1.0217,1.2059,7.5084,-120.5581,383.22,1170.4725,10,Smash
17.8474,0.7458,0.4318,0.5746,0,0,-0.5397,0.5424,-5.5874,-156.1391,-66.351,-1309.5814,10,Smash
18.5074,0.7682,0.4003,0.5926,0,0,2.237,-3.1462,1.7989,277.673,-368.855,738.6315,10,Smash
19.1662,0.772,0.4356,0.6698,0,0,0.3839,3.5292,7.7202,-185.3049,667.5371,592.1316,11,Smash
19.7673,0.7862,0.4197,0.5737,0,0,1.4218,-1.5976,-9.6134,103.786,-512.6828,-1733.3597,11,Smash
20.3675,0.7508,0.3872,0.4254,0,0,-3.5454,-3.2506,-14.8295,-496.7249,-165.3001,-521.6149,12,Smash
20.9672,0.7567,0.4321,0.5179,0,0,0.5939,4.4907,9.2516,413.9316,774.1317,2408.1111,12,Smash
21.5676,0.7842,0.4268,0.4861,0,0,2.747,-0.5238,-3.1777,215.3134,-501.4467,-1242.9282,12,Smash
22.1666,0.7459,0.397,0.4625,0,0,-3.8297,-2.9788,-2.3662,-657.6663,-245.5008,81.1556,13,Smash
22.8876,0.761,0.4554,0.5033,0,0,1.5083,5.8376,4.0766,533.7996,881.6362,644.2803,13,Smash
23.4882,0.8037,0.4152,0.4813,0,0,4.2741,-4.0201,-2.1915,276.5799,-985.7639,-626.8126,13,Smash
24.0882,0.7472,0.3963,0.5558,0,0,-5.6531,-1.892,7.4451,-992.7214,212.8076,963.6539,14,Smash
24.6875,0.7721,0.4476,0.5328,0,0,2.4881,5.1328,-2.2973,814.1202,702.4827,-974.2311,14,Smash
25.2861,0.7904,0.4345,0.522,0,0,1.8377,-1.3112,-1.0803,-65.0448,-644.4073,121.6918,15,Smash
25.8865,0.7455,0.4371,0.61,0,0,-4.4909,0.2581,8.7951,-632.8601,156.934,987.5483,15,Smash
26.4836,0.7612,0.4506,0.5617,0,0,1.5664,1.3463,-4.8249,605.7269,108.8172,-1362.0024,15,Smash
27.0852,0.7932,0.4306,0.5558,0,0,3.2004,-1.9992,-0.5888,163.4002,-334.5528,423.6042,15,Smash
27.7482,0.76,0.4279,0.584,0,0,-3.317,-0.2654,2.8186,-651.7303,173.3863,340.7443,16,Smash
28.3468,0.7855,0.439,0.5733,0,0,2.5478,1.1084,-1.0711,586.4775,137.3738,-388.9722,16,Smash
28.9484,0.8013,0.4171,0.554,0,0,1.5797,-2.189,-1.9336,-96.8152,-329.7356,-86.2497,17,Smash
29.5466,0.7918,0.4543,0.5992,0,0,-0.9514,3.7233,4.5272,-253.1093,591.2271,646.0792,17,Smash
30.2078,0.794,0.4502,0.5716,0,0,0.219,-0.4157,-2.7655,117.0444,-413.8985,-729.2634,17,Smash
30.8674,0.7579,0.4119,0.4871,0,0,-3.6083,-3.8292,-8.4447,-382.7363,-341.3445,-567.9285,18,Smash
31.5843,0.6679,0.3787,0.4415,0,0,-9,-3.317,-4.5636,-539.1693,51.2108,388.1106,18,Smash
32.247,0.6354,0.3724,0.3941,0,0,-3.2505,-0.6307,-4.7392,574.9554,268.6334,-17.5583,18,Smash
32.8445,0.6939,0.4352,0.4861,0,0,5.8514,6.2772,9.2005,910.1873,690.7907,1393.9714,18,Smash
33.4463,0.7255,0.4199,0.4808,0,0,3.1605,-1.5319,-0.5346,-269.0923,-780.9058,-973.5107,19,Smash
34.0463,0.7303,0.3955,0.4458,0,0,0.4814,-2.4409,-3.5012,-267.9104,-90.9045,-296.6586,19,Smash
34.647,0.7774,0.45,0.5432,0,0,4.7036,5.4566,9.7495,422.2232,789.7487,1325.0721,19,Smash
35.2475,0.787,0.4424,0.5228,0,0,0.9603,-0.7585,-2.0466,-374.332,-621.5042,-1179.6093,20,Smash
35.8469,0.7683,0.4112,0.4831,0,0,-1.8641,-3.1242,-3.9695,-282.4342,-236.5744,-192.2956,20,Smash
36.4466,0.7837,0.4631,0.5577,0,0,1.5395,5.1907,7.4651,340.3544,831.4872,1143.4591,20,Smash
37.0449,0.7915,0.4422,0.5379,0,0,0.7811,-2.0867,-1.9847,-75.8344,-727.7408,-944.9789,21,Smash
37.7079,0.7606,0.4149,0.5474,0,0,-3.0914,-2.7332,0.9466,-387.2544,-64.6496,293.1315,21,Smash
38.308,0.7843,0.4596,0.5808,0,0,2.3714,4.4656,3.3393,546.2837,719.8885,239.2715,21,Smash
38.9061,0.7799,0.4477,0.5473,0,0,-0.4426,-1.1823,-3.3444,-281.4066,-564.7934,-668.3689,22,Smash
39.5075,0.76,0.4135,0.4786,0,0,-1.9955,-3.4221,-6.8696,-155.2868,-223.9772,-352.5203,22,Smash
40.1073,0.7868,0.4739,0.5233,0,0,2.6879,6.0395,4.4682,468.3441,946.1514,1133.7822,22,Smash
40.7077,0.7947,0.4789,0.5478,0,0,0.7835,0.5034,2.4501,-190.4446,-553.6008,-201.8183,23,Smash
41.308,0.7996,0.4803,0.5655,0,0,0.4952,0.1379,1.7749,-28.8332,-36.5588,-67.5106,23,Smash
41.9074,0.7935,0.4781,0.5693,0,0,-0.6103,-0.2218,0.376,-110.5481,-35.9631,-139.8903,23,Smash
42.5087,0.7838,0.4603,0.5525,0,0,-0.9734,-1.7772,-1.6802,-36.3117,-155.5401,-205.6253,23,Smash
43.1082,0.777,0.4442,0.5365,0,0,-0.682,-1.6166,-1.6008,29.1413,16.0545,7.9393,23,Smash
43.8265,0.7397,0.4557,0.5598,0,0,-3.7213,1.1569,2.3323,-303.9294,277.3544,393.3114,24,Smash
44.4265,0.8305,0.4546,0.5625,0,0,9.0738,-0.1104,0.2704,1279.5126,-126.7275,-206.1915,24,Smash
45.0878,0.84,0.4257,0.5211,0,0,0.9512,-2.8933,-4.1373,-812.2593,-278.2923,-440.7674,25,Smash
45.686,0.8202,0.4389,0.5433,0,0,-1.9825,1.3217,2.2184,-293.3735,421.4942,635.5733,25,Smash
46.2873,0.7931,0.442,0.5297,0,0,-2.7056,0.3126,-1.3667,-72.3028,-100.9101,-358.5178,25,Smash
46.9468,0.7823,0.413,0.4906,0,0,-1.0867,-2.9031,-3.9077,161.8874,-321.5652,-254.0979,25,Smash
47.6056,0.7866,0.4504,0.5702,0,0,0.4378,3.7362,7.958,152.4484,663.9248,1186.5706,25,Smash
48.2071,0.7747,0.4531,0.5467,0,0,-1.1912,0.2745,-2.3515,-162.9055,-346.1665,-1030.9497,26,Smash
48.8675,0.7461,0.415,0.4429,0,0,-2.8573,-3.811,-10.3717,-166.6093,-408.5464,-802.0148,26,Smash
49.5842,0.7613,0.456,0.5015,0,0,1.5109,4.0953,5.8568,436.8222,790.6312,1622.8438,26,Smash
50.1871,0.7735,0.441,0.4777,0,0,1.2203,-1.4953,-2.3772,-29.0602,-559.0605,-823.3997,27,Smash
50.8483,0.7541,0.4511,0.5271,0,0,-1.9354,1.0134,4.9397,-315.5685,250.8673,731.6941,27,Smash
51.4469,0.7852,0.4592,0.5156,0,0,3.1052,0.807,-1.1484,504.0616,-20.6354,-608.8132,27,Smash
52.1655,0.7749,0.4124,0.4452,0,0,-1.0243,-4.6786,-7.0452,-412.9469,-548.566,-589.681,28,Smash
52.7674,0.8089,0.4617,0.538,0,0,3.3968,4.9306,9.2838,442.1103,960.9213,1632.9033,28,Smash
53.3674,0.8068,0.434,0.496,0,0,-0.2069,-2.7719,-4.2077,-360.3709,-770.2532,-1349.1488,29,Smash
54.0265,0.7711,0.3934,0.4152,0,0,-3.5714,-4.0617,-8.0779,-336.4563,-128.9737,-387.0198,29,Smash
54.6269,0.7963,0.4408,0.5273,0,0,2.52,4.7379,11.2104,609.1404,879.9553,1928.8286,29,Smash
55.2268,0.766,0.4377,0.5176,0,0,-3.027,-0.3078,-0.9729,-554.6981,-504.5661,-1218.3353,30,Smash
55.8264,0.7667,0.4404,0.5215,0,0,0.0718,0.2731,0.3911,309.8834,58.0838,136.4082,30,Smash
56.4269,0.7695,0.4349,0.5307,0,0,0.2749,-0.557,0.9231,20.3061,-83.0022,53.1983,30,Smash
